Index,NN_energy_HF,HF_energy,NN_macro_HF,NN_JK_HF,NN_micro_HF,HF_macro,HF_JK,HF_micro,NN_energy_AVAS,AVAS_energy,NN_macro_AVAS,NN_JK_AVAS,NN_micro_AVAS,AVAS_macro,AVAS_JK,AVAS_micro,ΔE_NN-HF,ΔE_NN-AVAS
0,0.0314258306612842,0.0314258324370922,3,44,9,8,105,23,0.0314258306612842,0.0314258319983551,3,44,9,6,95,21,-1.7758079937091331e-09,-1.3370708984439261e-09
1,-1.18673510865467,-1.18673509856627,3,28,7,5,75,17,-1.18673510865467,-1.18673506867062,3,28,7,5,55,14,-1.0088400115293439e-08,-3.998405007088479e-08
2,-1.74917503299876,-1.74917501950494,3,25,7,7,82,19,-1.74917503299876,-1.74917501683649,3,25,7,4,37,10,-1.349382006132771e-08,-1.616227018885752e-08
3,-2.0212891491678,-2.02128914665242,3,23,7,7,85,19,-2.0212891491678,-2.02128914089132,3,23,7,3,20,5,-2.515379904366455e-09,-8.27647994583458e-09
4,-2.1518042379429,-2.15180423846559,2,15,5,6,86,19,-2.1518042379429,-2.15180423740529,2,15,5,2,16,5,5.226903354582646e-10,-5.376099565523873e-10
5,-2.20866335179078,-2.20866335147513,2,15,5,5,79,17,-2.20866335179078,-2.20866335171462,2,15,5,2,18,5,-3.1565017266643736e-10,-7.615996722165619e-11
6,-2.22552205736742,-2.22552205633354,2,14,5,6,72,15,-2.22552205736742,-2.22552205747389,2,14,5,2,18,5,-1.0338800926490421e-09,1.0646994397234266e-10
7,-2.22044363090071,-2.22044363081599,2,14,5,5,63,14,-2.22044363090071,-2.22044363095106,2,14,5,2,17,5,-8.471978674151615e-11,5.03499464343804e-11
8,-2.20368437847514,-2.20368437787796,2,16,5,4,50,11,-2.20368437847514,-2.20368437831496,2,16,5,2,15,5,-5.971800831616747e-10,-1.6018031345765849e-10
9,-2.18126108065291,-2.18126108175222,2,13,5,4,43,10,-2.18126108065291,-2.18126108174525,2,13,5,2,16,5,1.099310420471511e-09,1.0923399962337044e-09
10,-2.15678067641328,-2.15678067643664,2,12,5,4,38,10,-2.15678067641328,-2.15678067736906,2,12,5,3,16,6,2.3359980616532994e-11,9.55779899669551e-10
11,-2.13243149182891,-2.13243149274318,2,15,5,3,34,9,-2.13243149182891,-2.13243149267438,2,15,5,3,17,6,9.14269993046446e-10,8.454699162996349e-10
12,-2.10953475329559,-2.10953475187296,2,12,4,3,33,8,-2.10953475329559,-2.10953475367364,2,12,4,3,16,6,-1.4226300137920589e-09,3.7805003572088935e-10
13,-2.08885328044679,-2.08885328306946,2,12,4,3,27,7,-2.08885328044679,-2.08885328340572,2,12,4,3,19,6,2.6226700811093906e-09,2.9589299899157595e-09
14,-2.07076591149327,-2.0707659189547,2,12,4,3,26,7,-2.07076591149327,-2.07076591586685,2,12,4,3,16,6,7.461430140409675e-09,4.373580164696023e-09
15,-2.05537686098611,-2.05537686011503,2,12,5,3,24,7,-2.05537686098611,-2.05537685855626,2,12,5,3,16,6,-8.710796528532683e-10,-2.4298496548169624e-09
16,-2.04259675808359,-2.04259675554042,2,12,4,3,21,6,-2.04259675808359,-2.0425967523626,2,12,4,3,16,6,-2.543170118940452e-09,-5.720990348123678e-09
17,-2.03220838106984,-2.03220841687817,2,10,4,3,21,6,-2.03220838106984,-2.03220840504133,2,10,4,3,16,6,3.580833007887918e-08,2.39714901262289e-08
18,-2.02392189573543,-2.02392189491047,2,12,4,3,21,6,-2.02392189573543,-2.02392187552356,2,12,4,3,17,6,-8.249601002319196e-10,-2.0211869955488737e-08
19,-2.01741846577714,-2.01741847953757,2,10,4,3,20,6,-2.01741846577714,-2.01741846074205,2,10,4,3,17,6,1.376042968459501e-08,-5.035090122618158e-09
20,-2.01238374790559,-2.01238374630612,2,12,5,3,20,6,-2.01238374790559,-2.01238375152628,2,12,5,4,21,7,-1.5994703339572425e-09,3.62068997006304e-09
21,-2.00852967065145,-2.00852970789925,2,14,5,3,20,6,-2.00852967065145,-2.00852971491516,2,14,5,4,21,7,3.7247799955508754e-08,4.426371003063423e-08
22,-2.00560656639581,-2.0056065736653,2,15,5,3,20,6,-2.00560656639581,-2.00560657531903,2,15,5,4,21,7,7.26948989893117e-09,8.923219940726312e-09
